tstamp,age,gender,race,industry,title,annual_salary,currency,country,us_state,city,years_prof_work,years_field_work,education
2021-04-27 11:02:00,25-34,Woman,White,Nonprofits,Special Events Manager ,48068,USD,US,Maine,Portland,8 - 10 years,8 - 10 years,College degree
2021-04-27 11:02:00,45-54,Woman,White,Education (Higher Education),Executive Assistant,76500,USD,US,Washington,Seattle,31 - 40 years,21 - 30 years,College degree
2021-04-27 11:02:00,45-54,Woman,White,Property or Construction,Staff Accountant,49000,USD,US,Illinois,Rockford,31 - 40 years,21 - 30 years,Some college
2021-04-27 11:02:00,25-34,Woman,Black or African American,Law,L&D Specialist ,91000,USD,US,District of Columbia,"Washington, DC",5-7 years,5-7 years,"Professional degree (MD, JD, etc.)"
2021-04-27 11:02:00,45-54,Woman,White,Health care,RN,100000,USD,US,Oregon,Portland,11 - 20 years,5-7 years,College degree
2021-04-27 11:02:00,45-54,Woman,White,"Accounting, Banking & Finance",Director of Human Resources,94000,USD,US,Texas,Waco,11 - 20 years,11 - 20 years,College degree
2021-04-27 11:03:00,25-34,Man,Asian or Asian American,Computing or Tech,Software Developer,175000,USD,US,Washington,Seattle,8 - 10 years,5-7 years,High School
2021-04-27 11:03:00,25-34,Woman,Asian or Asian American,Computing or Tech,Data scientist,135000,USD,US,Illinois,Chicago,5-7 years,2 - 4 years,PhD
2021-04-27 11:03:00,25-34,Woman,White,Insurance,Talent Management Specialist II,64000,USD,US,Texas,Houston,5-7 years,5-7 years,College degree
2021-04-27 11:03:00,45-54,Woman,Native American or Alaska Native,Health care,DBA/Programmer,85000,USD,US,Illinois,Collinsville,21 - 30 years,11 - 20 years,College degree
2021-04-27 11:03:00,55-64,Woman,White,Government and Public Administration,Administrative Analyst II,99000,USD,US,California,Oakland,31 - 40 years,21 - 30 years,College degree
2021-04-27 11:03:00,35-44,Woman,White,Law,Corporate Counsel ,104000,USD,US,Oregon,Portland,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)"
2021-04-27 11:03:00,25-34,Woman,White,"Marketing, Advertising & PR",Marketing Content Creator ,65000,USD,US,New York,Brooklyn,8 - 10 years,2 - 4 years,College degree
2021-04-27 11:03:00,35-44,Woman,White,Education (Higher Education),Program Coordinator,35140,USD,US,Montana,Bozeman,11 - 20 years,8 - 10 years,Master's degree
2021-04-27 11:03:00,35-44,Woman,White,"Marketing, Advertising & PR","Vice President, Marketing",198000,USD,US,California,Irvine,21 - 30 years,21 - 30 years,College degree
2021-04-27 11:03:00,25-34,Woman,White,Law,Attorney,94500,USD,US,Virginia,Richmond,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)"
2021-04-27 11:03:00,35-44,Woman,White,Government and Public Administration,Staff Development Specialist,91000,USD,US,Connecticut,Hartford,11 - 20 years,2 - 4 years,Master's degree
2021-04-27 11:03:00,35-44,Woman,White,Law,associate attorney,80000,USD,US,Illinois,Will County,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
2021-04-27 11:03:00,35-44,Man,White,Energy,Manager,265000,USD,US,Texas,Houston,11 - 20 years,11 - 20 years,PhD
2021-04-27 11:03:00,35-44,Woman,White,Computing or Tech,Mobile developer,144600,USD,US,Massachusetts,Boston,5-7 years,5-7 years,PhD
2021-04-27 11:03:00,45-54,Woman,White,Computing or Tech,Engineer,98000,USD,US,Texas,Austin,21 - 30 years,21 - 30 years,College degree
2021-04-27 11:03:00,45-54,Woman,White,Health care,RN,97500,USD,US,Texas,Dallas,21 - 30 years,5-7 years,College degree
2021-04-27 11:03:00,35-44,Woman,White,Retail,staff manager,78000,USD,US,Utah,south jordan,21 - 30 years,2 - 4 years,High School
2021-04-27 11:03:00,25-34,Woman,Another option not listed here or prefer not to answer,"Accounting, Banking & Finance",Loan Processor,42000,USD,US,Illinois,Chicago ,8 - 10 years,2 - 4 years,Some college
2021-04-27 11:03:00,35-44,Woman,White,Entertainment,Editor,43000,USD,US,Maine,Portland,11 - 20 years,5-7 years,College degree
2021-04-27 11:03:00,25-34,Woman,White,Environmental ,Scientist,65000,USD,US,New Jersey,Somerville ,8 - 10 years,8 - 10 years,Master's degree
2021-04-27 11:03:00,25-34,Woman,White,Insurance,Risk Manager,132000,USD,US,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree
2021-04-27 11:03:00,25-34,Woman,White,Health care,Psychologist,92000,USD,US,Kansas,Leavenworth,5-7 years,5-7 years,PhD
2021-04-27 11:03:00,35-44,Woman,White,Health care,Mental Health Coach,51079,USD,US,Alabama,Gurley,11 - 20 years,2 - 4 years,Master's degree
2021-04-27 11:03:00,18-24,Woman,White,Retail,Demand Forecaster,78000,USD,US,Ohio,Columbus,2 - 4 years,2 - 4 years,College degree
2021-04-27 11:03:00,55-64,Woman,White,Nonprofits,Program Director,71350,USD,US,Ohio,Cleveland,21 - 30 years,21 - 30 years,Master's degree
2021-04-27 11:03:00,35-44,Woman,White,Biotech,Program Manager,155000,USD,US,Massachusetts,Cambridge,8 - 10 years,2 - 4 years,PhD
2021-04-27 11:03:00,35-44,Woman,White,Media & Digital,Editor,117000,USD,US,New York,New York,11 - 20 years,11 - 20 years,Master's degree
2021-04-27 11:03:00,25-34,Man,White,Social Work,Team Leader,48300,USD,US,Indiana,Indianapolis,2 - 4 years,2 - 4 years,College degree
2021-04-27 11:03:00,45-54,Man,White,Media & Digital,Web developer,120000,USD,US,New York,NYC,21 - 30 years,11 - 20 years,College degree
2021-04-27 11:03:00,25-34,Woman,White,Computing or Tech,lead scientist,117000,USD,US,Colorado,Boulder,5-7 years,5-7 years,Master's degree
2021-04-27 11:04:00,35-44,Woman,White,Sales,Studio Stylist ,54600,USD,US,Washington,Seattle ,21 - 30 years,11 - 20 years,College degree
2021-04-27 11:04:00,35-44,Man,White,Retail,Genius Admin,55000,USD,US,Nevada,Las Vegas,11 - 20 years,11 - 20 years,College degree
2021-04-27 11:04:00,25-34,Woman,White,Computing or Tech,Customer Success Manager ,70000,USD,US,Washington,Seattle,8 - 10 years,5-7 years,Master's degree
2021-04-27 11:04:00,35-44,Man,White,Computing or Tech,Software Engineer,110000,USD,US,Oregon,Portland,11 - 20 years,5-7 years,College degree
2021-04-27 11:04:00,25-34,Woman,White,Media & Digital,Senior editor,108000,USD,US,New York,NYC,11 - 20 years,11 - 20 years,College degree
2021-04-27 11:04:00,25-34,Man,White,Art & Design,Senior Art Director Design,95000,USD,US,New York,Brooklyn,8 - 10 years,5-7 years,Some college
2021-04-27 11:04:00,25-34,Woman,,Business or Consulting,Ops Associate,119000,USD,US,New York,NY,2 - 4 years,2 - 4 years,College degree
2021-04-27 11:04:00,45-54,Woman,White,Health care,Director,245000,USD,US,Ohio,Columbus ,11 - 20 years,11 - 20 years,PhD
2021-04-27 11:04:00,25-34,Man,Asian or Asian American,Computing or Tech,Senior manager,167000,USD,US,Virginia,Chantilly,8 - 10 years,8 - 10 years,Master's degree
2021-04-27 11:04:00,35-44,Woman,White,Nonprofits,archivist,44000,USD,US,Pennsylvania,Norristown,11 - 20 years,11 - 20 years,PhD
2021-04-27 11:04:00,25-34,Non-binary,White,Nonprofits,Librarian,47500,USD,US,New York,Schenectady,8 - 10 years,5-7 years,Master's degree
2021-04-27 11:04:00,25-34,Woman,White,Biotech,Business Development Manager,125000,USD,US,Arizona,Tucson,5-7 years,2 - 4 years,PhD
2021-04-27 11:04:00,35-44,Man,White,Media & Digital,Editor,50000,USD,US,Texas,Houston,11 - 20 years,5-7 years,College degree
2021-04-27 11:04:00,25-34,Woman,White,Education (Primary/Secondary),Teacher,65000,USD,US,Texas,Dallas,5-7 years,5-7 years,Master's degree
2021-04-27 11:04:00,35-44,Man,White,Social Work,Clinician ,57000,USD,US,Massachusetts,Boston ,8 - 10 years,5-7 years,Master's degree
2021-04-27 11:04:00,25-34,Woman,White,Computing or Tech,Senior Copywriter,85000,USD,US,New York,New York,8 - 10 years,5-7 years,College degree
2021-04-27 11:04:00,25-34,Woman,White,Health care,Registered Nurse,76000,USD,US,Massachusetts,Boston,5-7 years,2 - 4 years,College degree
2021-04-27 11:04:00,35-44,Man,White,Computing or Tech,Staff Engineer,165000,USD,US,Arizona,Phoenix,11 - 20 years,11 - 20 years,College degree
2021-04-27 11:04:00,25-34,Man,White,Computing or Tech,Software Engineer,252000,USD,US,New York,NYC,2 - 4 years,2 - 4 years,College degree
2021-04-27 11:04:00,25-34,Woman,White,Law,Paralegal,42800,USD,US,Colorado,Centennial ,2 - 4 years,2 - 4 years,College degree
2021-04-27 11:04:00,25-34,Man,White,Utilities & Telecommunications,Analyst,115000,USD,US,California,San Francisco,5-7 years,5-7 years,College degree
2021-04-27 11:04:00,35-44,Woman,White,Education (Higher Education),Associate Consultant,105000,USD,US,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,College degree
2021-04-27 11:04:00,35-44,Woman,White,Computing or Tech,Sr. Payroll Specialist ,90000,USD,US,Washington,Puyallup ,11 - 20 years,8 - 10 years,Master's degree
2021-04-27 11:04:00,35-44,Man,White,"Libraries, Archives, Museums",Digital Librarian,76000,USD,US,Connecticut,Stamford,11 - 20 years,8 - 10 years,Master's degree
2021-04-27 11:04:00,25-34,Woman,White,Nonprofits,Coordinator,54000,USD,US,Michigan,Detroit,5-7 years,5-7 years,Master's degree
2021-04-27 11:04:00,45-54,Man,White,Computing or Tech,CTO,240000,USD,US,Massachusetts,Boston,21 - 30 years,21 - 30 years,College degree
2021-04-27 11:04:00,35-44,Woman,White,Agriculture or Forestry,Archaeologist ,76000,USD,US,California,Sacramento ,11 - 20 years,11 - 20 years,PhD
2021-04-27 11:04:00,25-34,Man,White,Education (Primary/Secondary),Youth Pastor,42000,USD,US,Arkansas,Fayetteville,5-7 years,5-7 years,College degree
2021-04-27 11:04:00,25-34,Woman,White,Media & Digital,Data Analyst,73000,USD,US,New Jersey,Princeton,2 - 4 years,2 - 4 years,College degree
2021-04-27 11:04:00,25-34,Woman,White,Health care,Nurse manager,75000,USD,US,New York,Albany,11 - 20 years,5-7 years,College degree
2021-04-27 11:04:00,35-44,Woman,White,Agriculture or Forestry,Bookkeeping,35360,USD,US,Idaho,Rupert,5-7 years,5-7 years,Master's degree
2021-04-27 11:04:00,35-44,Woman,White,Health care,Program manager,60000,USD,US,Ohio,Columbus,11 - 20 years,11 - 20 years,
2021-04-27 11:04:00,35-44,Woman,White,Entertainment,Assistant Theatre Manager,30000,USD,US,Wisconsin,Racine,11 - 20 years,5-7 years,College degree
2021-04-27 11:04:00,45-54,Woman,White,Education (Primary/Secondary),Media Specialist,43000,USD,US,Georgia,Atlanta,5-7 years,2 - 4 years,Master's degree
2021-04-27 11:04:00,25-34,Woman,White,Retail,General Manager,71000,USD,US,Minnesota,Minneapolis,8 - 10 years,8 - 10 years,Some college
2021-04-27 11:04:00,55-64,Woman,"Hispanic, Latino, or Spanish origin",Engineering or Manufacturing,Plant Manager ,78000,USD,US,California,San Jose ,21 - 30 years,11 - 20 years,Some college
2021-04-27 11:05:00,45-54,Woman,White,Law,Firm Administrator ,105000,USD,US,California,Walnut Creek,11 - 20 years,11 - 20 years,College degree
2021-04-27 11:05:00,35-44,Man,White,Computing or Tech,Senior Director,300000,USD,US,California,San Francisco,11 - 20 years,11 - 20 years,Master's degree
2021-04-27 11:05:00,35-44,Woman,White,Health care,"Director, Data Analytics",152500,USD,US,Massachusetts,Boston,11 - 20 years,5-7 years,College degree
2021-04-27 11:05:00,25-34,Woman,White,Computing or Tech,SOC Analyst,160000,USD,US,Ohio,Cedarville,8 - 10 years,8 - 10 years,College degree
2021-04-27 11:05:00,25-34,Woman,White,Law,Paralegal,104000,USD,US,North Carolina,Raleigh,8 - 10 years,5-7 years,College degree
2021-04-27 11:05:00,35-44,Woman,White,Health care,Director,135000,USD,US,Minnesota,Minneapolis,11 - 20 years,2 - 4 years,College degree
2021-04-27 11:05:00,45-54,Woman,White,Nonprofits,Events Marketing Manager,76500,USD,US,Texas,Dallas,21 - 30 years,11 - 20 years,Master's degree
2021-04-27 11:05:00,25-34,Woman,White,Law,Paralegal,60000,USD,US,North Carolina,Durham,5-7 years,5-7 years,Master's degree
2021-04-27 11:05:00,25-34,Man,White,Property or Construction,Project Manager,85000,USD,US,California,Tustin,5-7 years,5-7 years,Master's degree
2021-04-27 11:05:00,55-64,Woman,White,Engineering or Manufacturing,Human Resources manager,95000,USD,US,Texas,Abilene,21 - 30 years,21 - 30 years,Some college
2021-04-27 11:05:00,55-64,Woman,White,"Libraries, Archives, Museums",Director,56758,USD,US,Illinois,Chillicothe,5-7 years,5-7 years,Master's degree
2021-04-27 11:05:00,25-34,Woman,White,Nonprofits,Risk Manager,88500,USD,US,California,Berkeley,8 - 10 years,2 - 4 years,College degree
2021-04-27 11:05:00,35-44,Woman,White,Law,Paralegal,96000,USD,US,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree
2021-04-27 11:05:00,35-44,Woman,White,Biotech,Scientist,82000,USD,US,Colorado,Arvada,8 - 10 years,5-7 years,PhD
2021-04-27 11:05:00,35-44,Woman,White,Health care,Nurse Manager,88000,USD,US,Indiana,Indianapolis,8 - 10 years,8 - 10 years,College degree
2021-04-27 11:05:00,25-34,Woman,White,Art & Design,Interior Designer,57000,USD,US,Texas,Austin,5-7 years,5-7 years,College degree
2021-04-27 11:05:00,25-34,Woman,White,Insurance,Value Based Program Lead,126000,USD,US,Illinois,Chicago,8 - 10 years,8 - 10 years,Master's degree
2021-04-27 11:05:00,25-34,Woman,White,Art & Design,Architect,85000,USD,US,New York,Nyc,2 - 4 years,11 - 20 years,College degree
2021-04-27 11:05:00,25-34,Man,White,Retail,Store Manager,52000,USD,US,Arizona,Phoenix,5-7 years,5-7 years,College degree
2021-04-27 11:05:00,25-34,Woman,White,Education (Higher Education),Research and Instruction Librarian,55000,USD,US,Massachusetts,Boston,5-7 years,5-7 years,Master's degree
2021-04-27 11:05:00,25-34,Woman,White,"Accounting, Banking & Finance",Marketing Specialist,34000,USD,US,Tennessee,Chattanooga,2 - 4 years,2 - 4 years,College degree
2021-04-27 11:05:00,25-34,Woman,White,Nonprofits,Program Manager,62000,USD,US,Wisconsin,Milwaukee,8 - 10 years,5-7 years,College degree
2021-04-27 11:05:00,25-34,Woman,White,"Accounting, Banking & Finance",Accounting Manager,60000,USD,US,South Carolina,Greenville,8 - 10 years,5-7 years,College degree
2021-04-27 11:05:00,25-34,Man,White,Education (Higher Education),Scholarly Publishing Librarian,62000,USD,US,New Hampshire,Hanover,8 - 10 years,2 - 4 years,Master's degree
2021-04-27 11:05:00,25-34,Woman,White,Publishing,Publishing Assistant,33000,USD,US,South Carolina,Columbia,2 - 4 years,2 - 4 years,College degree
2021-04-27 11:05:00,25-34,Man,White,Education (Primary/Secondary),Librarian,50000,USD,US,Arizona,Yuma,5-7 years,5-7 years,Master's degree
2021-04-27 11:05:00,45-54,Woman,White,Computing or Tech,Systems Analyst,112000,USD,US,Missouri,St. Louis,21 - 30 years,21 - 30 years,College degree
2021-04-27 11:05:00,35-44,Woman,"Hispanic, Latino, or Spanish origin","Accounting, Banking & Finance",Senior Accountant,45000,USD,US,Florida,Palm Coast,21 - 30 years,21 - 30 years,College degree
2021-04-27 11:05:00,25-34,Woman,White,Nonprofits,Office Manager,47500,USD,US,Massachusetts,Boston,5-7 years,5-7 years,College degree
2021-04-27 11:05:00,35-44,Woman,"Hispanic, Latino, or Spanish origin",Education (Higher Education),Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,62000,USD,US,Pennsylvania,Scranton,11 - 20 years,5-7 years,PhD
2021-04-27 11:05:00,35-44,Man,Asian or Asian American,"Accounting, Banking & Finance",Manager of Information Services,100000,USD,US,Michigan,Detroit,11 - 20 years,11 - 20 years,College degree
2021-04-27 11:05:00,25-34,Woman,White,Law,Legal Aid Staff Attorney,52000,USD,US,Minnesota,Saint Paul,2 - 4 years,2 - 4 years,
2021-04-27 11:05:00,35-44,Woman,White,Business or Consulting,Executive Assistant,85000,USD,US,Illinois,Chicago,8 - 10 years,8 - 10 years,Some college
2021-04-27 11:05:00,45-54,Woman,White,Art & Design,graphic designer,59000,USD,US,California,Pomona,21 - 30 years,21 - 30 years,College degree
2021-04-27 11:05:00,35-44,Woman,White,Business or Consulting,Senior Manager,98000,USD,US,Georgia,Atlanta,11 - 20 years,2 - 4 years,Master's degree
2021-04-27 11:05:00,35-44,Woman,White,Education (Higher Education),Assistant Director of Academic Advising,54000,USD,US,Florida,Boca Raton,11 - 20 years,11 - 20 years,Master's degree
2021-04-27 11:05:00,25-34,Woman,White,Health care,Data Programmer Analyst,74000,USD,US,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree
2021-04-27 11:05:00,35-44,Woman,White,Nonprofits,Program Coordinator & Assistant Editor ,50000,USD,US,Georgia,Atlanta,5-7 years,2 - 4 years,PhD
2021-04-27 11:05:00,35-44,Woman,Asian or Asian American,Government and Public Administration,Researcher,96000,USD,US,Ohio,Dayton,8 - 10 years,2 - 4 years,PhD
2021-04-27 11:05:00,25-34,Woman,White,"Libraries, Archives, Museums",Teen Librarian ,44500,USD,US,Florida,Bradenton,5-7 years,2 - 4 years,
2021-04-27 11:05:00,35-44,Woman,White,Education (Higher Education),Communications Specialist,60000,USD,US,Michigan,Ann Arbor,11 - 20 years,1 year or less,Master's degree
2021-04-27 11:05:00,25-34,Man,White,Nonprofits,Program Director,62000,USD,US,District of Columbia,Washington DC,5-7 years,2 - 4 years,College degree
2021-04-27 11:05:00,35-44,Woman,Another option not listed here or prefer not to answer,Law,Bookkeeper/Billing Manager,48000,USD,US,Maryland,Silver Spring,11 - 20 years,2 - 4 years,College degree
2021-04-27 11:05:00,35-44,Woman,White,Government and Public Administration,Economist,140000,USD,US,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree
2021-04-27 11:05:00,25-34,Woman,White,Engineering or Manufacturing,Research Engineer,80000,USD,US,Texas,San Antonio,5-7 years,5-7 years,College degree
2021-04-27 11:05:00,25-34,Woman,White,Nonprofits,Volunteer and Giving Coordinator,39000,USD,US,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,College degree
2021-04-27 11:05:00,35-44,Woman,White,Media & Digital,Editor,125000,USD,US,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree
2021-04-27 11:05:00,25-34,Woman,White,"Accounting, Banking & Finance",Financial Advisor,230000,USD,US,Missouri,St. Louis,11 - 20 years,11 - 20 years,College degree
2021-04-27 11:05:00,35-44,Woman,White,"Accounting, Banking & Finance",Accounting Manager,110000,USD,US,Virginia,Richmond,21 - 30 years,11 - 20 years,College degree
2021-04-27 11:05:00,25-34,Woman,White,Nonprofits,Administrative and HR Manager,50000,USD,US,District of Columbia,Washington,5-7 years,2 - 4 years,College degree
2021-04-27 11:05:00,35-44,Woman,White,Education (Higher Education),Senior IRB Analyst,68000,USD,US,North Carolina,Research Triangle,5-7 years,2 - 4 years,Master's degree
2021-04-27 11:05:00,18-24,Woman,White,Media & Digital,Reporter,41000,USD,US,Michigan,Kalamazoo,2 - 4 years,2 - 4 years,College degree
2021-04-27 11:06:00,25-34,Woman,White,"Accounting, Banking & Finance",Senior Administrator ,76000,USD,US,New York,Manhattan,5-7 years,2 - 4 years,College degree
2021-04-27 11:06:00,35-44,Woman,White,Government and Public Administration,Staff Services Manager II,78000,USD,US,California,Sacramento,8 - 10 years,5-7 years,Master's degree
2021-04-27 11:06:00,25-34,Woman,White,"Accounting, Banking & Finance",Receptionist,37000,USD,US,Texas,Dallas,2 - 4 years,2 - 4 years,College degree
2021-04-27 11:06:00,45-54,Woman,White,Engineering or Manufacturing,Lead Engineer,100000,USD,US,Georgia,waynesboro,21 - 30 years,21 - 30 years,College degree
2021-04-27 11:06:00,25-34,Man,White,Government and Public Administration,Manager of Data Integrity and Prospect Research,65000,USD,US,Virginia,Richmond,5-7 years,5-7 years,College degree
2021-04-27 11:06:00,25-34,Woman,White,Computing or Tech,Principal Software Engineer,187500,USD,US,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,College degree
2021-04-27 11:06:00,25-34,Man,White,Computing or Tech,Intelligence Analyst,110000,USD,US,Virginia,Arlington,8 - 10 years,8 - 10 years,Master's degree
2021-04-27 11:06:00,25-34,Woman,"Hispanic, Latino, or Spanish origin",Nonprofits,Project Manager,66625,USD,US,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree
2021-04-27 11:06:00,35-44,Woman,White,Computing or Tech,Product Design Director,200850,USD,US,North Carolina,Chapel Hill,11 - 20 years,11 - 20 years,College degree
2021-04-27 11:06:00,35-44,Woman,White,Education (Higher Education),Research and Development Engineer 3,96000,USD,US,California,Berkeley,5-7 years,5-7 years,PhD
2021-04-27 11:06:00,25-34,Woman,White,Education (Primary/Secondary),Science Teacher (Public High School),53000,USD,US,Minnesota,Apple Valley,5-7 years,1 year or less,Master's degree
2021-04-27 11:06:00,25-34,Woman,White,"Marketing, Advertising & PR","Senior Manager, Programmatic",95000,USD,US,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree
2021-04-27 11:06:00,35-44,Woman,White,Computing or Tech,Managed Services Sales Coordinator,72000,USD,US,Michigan,Troy,11 - 20 years,5-7 years,Master's degree
2021-04-27 11:06:00,35-44,Woman,White,Engineering or Manufacturing,Water Resources Engineer,106000,USD,US,Massachusetts,Boston,21 - 30 years,11 - 20 years,Master's degree
2021-04-27 11:06:00,25-34,Woman,"Hispanic, Latino, or Spanish origin",Government and Public Administration,Program Officer,115000,USD,US,District of Columbia,DC,5-7 years,5-7 years,PhD
2021-04-27 11:06:00,25-34,Woman,White,Business or Consulting,Account Supervisor,100500,USD,US,District of Columbia,Washington,11 - 20 years,5-7 years,College degree
2021-04-27 11:06:00,25-34,Woman,White,Law,Legal Secretary,33200,USD,US,New Jersey,Linden,8 - 10 years,2 - 4 years,Some college
2021-04-27 11:06:00,25-34,Woman,White,Education (Higher Education),Coordinator,52000,USD,US,Illinois,Champaign,8 - 10 years,8 - 10 years,College degree
2021-04-27 11:06:00,65 or over,Man,White,Property or Construction,Safety Director,104000,USD,US,Georgia,Atlanta,41 years or more,21 - 30 years,College degree
2021-04-27 11:06:00,18-24,Woman,White,Biotech,Downstream Process Development Research Associate I,52000,USD,US,Texas,Bryan,2 - 4 years,2 - 4 years,College degree
2021-04-27 11:06:00,25-34,Non-binary,White,Education (Higher Education),Research Programmer,70000,USD,US,Rhode Island,Providence,5-7 years,2 - 4 years,Master's degree
2021-04-27 11:06:00,25-34,Woman,White,Nonprofits,"Manager, Natural Climate Solutions Development",84000,USD,US,District of Columbia,District of Columbia,5-7 years,5-7 years,Master's degree
2021-04-27 11:06:00,35-44,Woman,White,Health care,AR Manager,53000,USD,US,Illinois,Bloomington,21 - 30 years,11 - 20 years,Master's degree
2021-04-27 11:06:00,25-34,Woman,White,Computing or Tech,Technical specialist,34000,USD,US,Minnesota,Minneapolis,5-7 years,5-7 years,College degree
2021-04-27 11:06:00,25-34,Woman,White,Nonprofits,Programming Coordinator,38000,USD,US,Colorado,Denver,5-7 years,2 - 4 years,Master's degree
2021-04-27 11:06:00,25-34,Man,White,Government and Public Administration,City Research Scientist II,87000,USD,US,New York,New York City,5-7 years,2 - 4 years,Master's degree
2021-04-27 11:06:00,35-44,Woman,White,Government and Public Administration,Project engineer ,122000,USD,US,Colorado,Colorado Springs,11 - 20 years,11 - 20 years,Master's degree
2021-04-27 11:06:00,25-34,Woman,White,Engineering or Manufacturing,Marketing Coordinator,45000,USD,US,South Carolina,Columbia,5-7 years,5-7 years,Some college
2021-04-27 11:06:00,35-44,Woman,Another option not listed here or prefer not to answer,Computing or Tech,Tech Writer,88000,USD,US,Maryland,,11 - 20 years,8 - 10 years,College degree
2021-04-27 11:06:00,35-44,Woman,White,Nonprofits,Supervisory Archivist,71000,USD,US,New York,NYC (remotely),11 - 20 years,8 - 10 years,Master's degree
2021-04-27 11:06:00,45-54,Woman,White,Education (Higher Education),Program Manager,71000,USD,US,Illinois,Champaign,11 - 20 years,11 - 20 years,PhD
2021-04-27 11:06:00,35-44,Woman,White,Education (Primary/Secondary),High School Teacher at an independent school,75000,USD,US,Georgia,Atlanta,11 - 20 years,11 - 20 years,Master's degree
2021-04-27 11:06:00,35-44,Woman,White,Education (Higher Education),Medical Education Director,119000,USD,US,California,,11 - 20 years,8 - 10 years,College degree
2021-04-27 11:06:00,35-44,Woman,White,Education (Higher Education),Manager of Market Research and Data,80000,USD,US,North Carolina,Raleigh,21 - 30 years,11 - 20 years,Master's degree
2021-04-27 11:06:00,35-44,Woman,White,Computing or Tech,Senior Business Analyst,125000,USD,US,New York,New York,11 - 20 years,8 - 10 years,Master's degree
2021-04-27 11:06:00,35-44,Woman,White,Education (Higher Education),Special Collections Cataloger,65000,USD,US,Pennsylvania,,11 - 20 years,11 - 20 years,Master's degree
2021-04-27 11:06:00,25-34,Woman,White,Nonprofits,Graphic Designer / Webmaster,55000,USD,US,Minnesota,St. Paul,2 - 4 years,2 - 4 years,College degree
2021-04-27 11:06:00,25-34,Woman,White,Art & Design,Senior UX Designer,90000,USD,US,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,College degree
2021-04-27 11:06:00,35-44,Woman,White,Engineering or Manufacturing,Senior Engineer ,105000,USD,US,Pennsylvania,Philadelphia,8 - 10 years,5-7 years,College degree
2021-04-27 11:06:00,35-44,Woman,White,Education (Higher Education),Digital Archivist,65000,USD,US,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree
2021-04-27 11:06:00,25-34,Woman,White,Business or Consulting,Associate Program Manager,85000,USD,US,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree
2021-04-27 11:06:00,25-34,Woman,White,Sales,CSR,39520,USD,US,Oregon,Portland ,8 - 10 years,2 - 4 years,Some college
2021-04-27 11:06:00,25-34,Woman,White,Energy,Fuel Efficiency Program Analyst,76000,USD,US,District of Columbia,Washington,8 - 10 years,5-7 years,College degree
2021-04-27 11:06:00,55-64,Woman,White,Business or Consulting,Senior Vice President of Marketing,180000,USD,US,Massachusetts,Boston,31 - 40 years,11 - 20 years,Master's degree
2021-04-27 11:06:00,25-34,Woman,White,"Accounting, Banking & Finance",Accounting Manager,90000,USD,US,Tennessee,Nashville,5-7 years,5-7 years,Master's degree
2021-04-27 11:06:00,55-64,Woman,White,Business or Consulting,Senior Administrative Assistant and Project Specialist,65000,USD,US,Washington,Seattle,31 - 40 years,11 - 20 years,Master's degree
2021-04-27 11:06:00,45-54,Man,White,Computing or Tech,senior web application developer,98166,USD,US,Indiana,Indianapolis,21 - 30 years,21 - 30 years,College degree
2021-04-27 11:06:00,25-34,Woman,White,Education (Primary/Secondary),Director of Development,63500,USD,US,Tennessee,Nashville,5-7 years,1 year or less,Master's degree
2021-04-27 11:06:00,25-34,Woman,White,Nonprofits,Program & Administrative Assistant,47700,USD,US,District of Columbia,Washington,5-7 years,2 - 4 years,College degree
2021-04-27 11:06:00,55-64,Man,White,Computing or Tech,Chief Engineer,87000,USD,US,Ohio,Solon,31 - 40 years,31 - 40 years,Some college
2021-04-27 11:06:00,25-34,Woman,Asian or Asian American,Education (Higher Education),Administrative Support Assistant,39635,USD,US,Florida,Gainesville,2 - 4 years,2 - 4 years,College degree
2021-04-27 11:06:00,25-34,Man,White,Government and Public Administration,Administrative Officer,53000,USD,US,North Carolina,Troy,8 - 10 years,5-7 years,College degree
2021-04-27 11:06:00,45-54,Woman,White,Education (Primary/Secondary),Executive Secretary/Secretary to Board of School Trustees,47255,USD,US,Indiana,Lafayette,31 - 40 years,21 - 30 years,Some college
2021-04-27 11:06:00,35-44,Man,White,Property or Construction,Senior Project Manager,196000,USD,US,New York,New York,11 - 20 years,11 - 20 years,College degree
